sticker_code,original_sticker_code,prefix,item_number,sticker_type,is_foil,team,group_name,item_name,player_name,player_club,page_number,slot_number,notes
00,00,,00,Panini Logo,TRUE,,Intro,Panini Logo,,,,,
FWC1,FWC1,FWC,1,Intro,TRUE,,Intro,Official Emblem,,,,,
FWC2,FWC2,FWC,2,Intro,TRUE,,Intro,Official Emblem,,,,,
FWC3,FWC3,FWC,3,Intro,TRUE,,Intro,Official Mascots,,,,,
FWC4,FWC4,FWC,4,Intro,TRUE,,Intro,Official Slogan,,,,,
FWC5,FWC5,FWC,5,Intro,TRUE,,Intro,Official Ball,,,,,
FWC6,FWC6,FWC,6,Intro,TRUE,,Intro,Canada - Host Countries & Cities,,,,,
FWC7,FWC7,FWC,7,Intro,TRUE,,Intro,Mexico - Host Countries & Cities,,,,,
FWC8,FWC8,FWC,8,Intro,TRUE,,Intro,USA - Host Countries & Cities,,,,,
MEX1,MEX1,MEX,1,Team Logo,TRUE,Mexico,A,Team Logo,,,,,
MEX2,MEX2,MEX,2,Player,FALSE,Mexico,A,Luis Malagón,Luis Malagón,,,,
MEX3,MEX3,MEX,3,Player,FALSE,Mexico,A,Johan Vasquez,Johan Vasquez,,,,
MEX4,MEX4,MEX,4,Player,FALSE,Mexico,A,Jorge Sánchez,Jorge Sánchez,,,,
MEX5,MEX5,MEX,5,Player,FALSE,Mexico,A,Cesar Montes,Cesar Montes,,,,
MEX6,MEX6,MEX,6,Player,FALSE,Mexico,A,Jesus Gallardo,Jesus Gallardo,,,,
MEX7,MEX7,MEX,7,Player,FALSE,Mexico,A,Israel Reyes,Israel Reyes,,,,
MEX8,MEX8,MEX,8,Player,FALSE,Mexico,A,Diego Lainez,Diego Lainez,,,,
MEX9,MEX9,MEX,9,Player,FALSE,Mexico,A,Carlos Rodriguez,Carlos Rodriguez,,,,
MEX10,MEX10,MEX,10,Player,FALSE,Mexico,A,Edson Alvarez,Edson Alvarez,,,,
MEX11,MEX11,MEX,11,Player,FALSE,Mexico,A,Orbelin Pineda,Orbelin Pineda,,,,
MEX12,MEX12,MEX,12,Player,FALSE,Mexico,A,Marcel Ruiz,Marcel Ruiz,,,,
MEX13,MEX13,MEX,13,Team Photo,FALSE,Mexico,A,Team Photo,,,,,
MEX14,MEX14,MEX,14,Player,FALSE,Mexico,A,Érick Sánchez,Érick Sánchez,,,,
MEX15,MEX15,MEX,15,Player,FALSE,Mexico,A,Hirving Lozano,Hirving Lozano,,,,
MEX16,MEX16,MEX,16,Player,FALSE,Mexico,A,Santiago Giménez,Santiago Giménez,,,,
MEX17,MEX17,MEX,17,Player,FALSE,Mexico,A,Raúl Jiménez,Raúl Jiménez,,,,
